[2019/06/08 22:37:11][CONFIG][initLogger]  Logging initialized.
[2019/06/08 22:37:11][CONFIG][initService]  Starting service...
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Scheme: http://
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Hostname: andromeda-73.ics.uci.edu
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Port: 8295
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Path: /api/idm
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Logger output file: idmService_timedOut.log
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database hostname: matt-smith-v4.ics.uci.edu
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database port: 3306
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database username: cs122b_db121
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database password provided? true
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database name: cs122b_db121
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database driver: mysql
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Database connection settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Session timeout: 3000
[2019/06/08 22:37:11][CONFIG][currentConfigs]  Session expiration: 1200000
[2019/06/08 22:37:11][CONFIG][connectToDatabase]  Connecting to database...
[2019/06/08 22:37:11][CONFIG][connectToDatabase]  Using MySQL driver: com.mysql.cj.jdbc.Driver
[2019/06/08 22:37:11][CONFIG][connectToDatabase]  Using driver: com.mysql.cj.jdbc.Driver
[2019/06/08 22:37:11][CONFIG][connectToDatabase]  Database URL: jdbc:mysql://matt-smith-v4.ics.uci.edu:3306/cs122b_db121?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
